English,Episodes,Genres,Personal score,Score,Source,Studios,Type
Ajin: Demi-Human,13,Action,0,7.71,Manga,Polygon Pictures,TV
AKIRA,1,Action,0,8.16,Manga,Tokyo Movie Shinsha,Movie
Angel Beats!,13,Action,0,8.33,Original,P.A. Works,TV
anohana: The Flower We Saw That Day,11,Slice of Life,0,8.56,Original,A-1 Pictures,TV
Waiting in the Summer,12,Comedy,0,7.65,Original,J.C.Staff,TV
Another,12,Mystery,0,7.80,Novel,P.A. Works,TV
Yamada's First Time: B Gata H Kei,12,Comedy,0,7.12,4-koma manga,Hal Film Maker,TV
The Boy and the Beast,1,Adventure,0,8.52,Original,Studio Chizu,Movie
Bakemonogatari,15,Mystery,0,8.36,Light novel,Shaft,TV
Barakamon,12,Comedy,0,8.48,Web manga,Kinema Citrus,TV
Blame! Movie,1,Action,0,7.38,Manga,Polygon Pictures,Movie
Bleach,366,Action,0,7.91,Manga,Studio Pierrot,TV
My Hero Academia,13,Action,0,8.43,Manga,Bones,TV
The Kawai Complex Guide to Manors and Hostel Behavior,12,Slice of Life,0,7.85,Manga,Brain's Base,TV
5 Centimeters Per Second,3,Drama,0,7.98,Original,CoMix Wave Films,Movie
[C] CONTROL - The Money and Soul of Possibility,11,Action,0,7.39,Original,Tatsunoko Production,TV
"Love, Chunibyo & Other Delusions!",12,Slice of Life,0,7.90,Light novel,Kyoto Animation,TV
Clannad,23,Comedy,0,8.23,Visual novel,Kyoto Animation,TV
Clannad The Motion Picture,1,Drama,0,7.33,Visual novel,Toei Animation,Movie
Clannad ~After Story~,24,Drama,0,9.02,Visual novel,Kyoto Animation,TV
"Clannad ~After Story~: Another World, Kyou Chapter",1,Drama,0,7.98,Visual novel,Kyoto Animation,Special
"Clannad: Another World, Tomoyo Chapter",1,Drama,0,8.11,Visual novel,Kyoto Animation,Special
Colorful The Motion Picture,1,Slice of Life,0,8.01,Novel,Sunrise,Movie
Cowboy Bebop,26,Action,0,8.81,Original,Sunrise,TV
Cross Ange: Rondo of Angel and Dragon,25,Action,0,7.48,Original,Sunrise,TV
Death Note,37,Mystery,0,8.68,Manga,Madhouse,TV
Death Parade,12,Game,0,8.28,Original,Madhouse,TV
Denpa-teki na Kanojo,2,Mystery,0,7.72,Light novel,Brain's Base,OVA
Durarara!!,24,Action,0,8.31,Light novel,Brain's Base,TV
ef - a tale of melodies.,12,Drama,0,8.13,Visual novel,Shaft,TV
ef - a tale of memories.,12,Mystery,0,8.07,Visual novel,Shaft,TV
Ergo Proxy,23,Sci-Fi,0,8.00,Original,Manglobe,TV
Time of Eve,1,Sci-Fi,0,8.19,Original,Studio Rikka,Movie
Fate/stay night,24,Action,0,7.53,Visual novel,Studio Deen,TV
Fate/stay night [Unlimited Blade Works],12,Action,0,8.36,Visual novel,ufotable,TV
Fate/stay night [Unlimited Blade Works] Season 2,13,Action,0,8.42,Visual novel,ufotable,TV
Fate/Zero,13,Action,0,8.46,Novel,ufotable,TV
